first_name,last_name,document_type,document_number,phone_number,address_line,cp,medical_license,speciality_id
María,González,DNI,12345678,555123456,Calle Principal 123,12345,987654,3
Juan,Martínez,DNI,23456789,555234567,Avenida Central 456,23456,876543,7
Laura,Rodríguez,DNI,34567890,555345678,Calle Nueva 789,34567,765432,11
Carlos,Fernández,DNI,45678901,555456789,Avenida Vieja 012,45678,654321,15
Sofía,López,DNI,56789012,555567890,Calle Otra 345,56789,543210,19
Pedro,Gómez,DNI,67890123,555678901,Avenida Principal 678,67890,432109,4
Ana,Sánchez,DNI,78901234,555789012,Calle Principal 901,78901,321098,8
José,Pérez,DNI,89012345,555890123,Avenida Central 234,89012,210987,12
Marcela,Martín,DNI,90123456,555901234,Calle Nueva 567,90123,109876,16
Javier,López,DNI,12345667,555123456,Avenida Vieja 890,12346,987655,20
Elena,González,DNI,23456778,555234567,Calle Principal 234,23457,876544,5
Miguel,Martínez,DNI,34567889,555345678,Avenida Central 567,34568,765433,9
Lucía,Rodríguez,DNI,45678900,555456789,Calle Nueva 890,45679,654322,13
Alejandro,Fernández,DNI,56789011,555567890,Avenida Vieja 123,56780,543211,17
Paula,López,DNI,67890122,555678901,Calle Principal 678,67891,432110,1
Luis,Sánchez,DNI,78901233,555789012,Avenida Central 901,78902,321099,6
Silvia,Pérez,DNI,89012344,555890123,Calle Nueva 234,89012,210988,10
Diego,Martín,DNI,90123455,555901234,Avenida Vieja 789,90124,109875,14
Ana,González,DNI,12345666,555123456,Calle Principal 345,12347,987656,18
Jorge,Martínez,DNI,23456777,555234567,Avenida Central 789,23458,876545,2
Valeria,Rodríguez,DNI,34567888,555345678,Calle Nueva 123,34569,765434,6
Fernando,Fernández,DNI,45678911,555456789,Avenida Vieja 234,45680,654323,10
María,López,DNI,56789022,555567890,Calle Principal 567,56781,543212,14
Santiago,Gómez,DNI,67890133,555678901,Avenida Central 123,67892,432111,18
Elena,Sánchez,DNI,78901244,555789012,Calle Nueva 345,78903,321100,3
Miguel,Pérez,DNI,89012355,555890123,Avenida Vieja 567,89013,210989,7
Lucía,Martín,DNI,90123466,555901234,Calle Principal 789,90125,109874,11
